
========================================
[2026-06-14 22:42:34]
Target: Service: PermissionManagerServiceInternal
Method: getLegacyPermissions
Args: none
Result:
Collection [2837 elements]:
  [80] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{22a47ec com.google.android.finsky.permission.PLAY_BILLING_LIBRARY_BROADCAST}, mType=0, mUid=10245}
  [81] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{1cf8e4a android.permission.CONFIGURE_WIFI_DISPLAY}, mType=0, mUid=1000}
  [82] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{c69f6d8 com.samsung.android.game.gamehome.permission.READ_PUBLIC_CONTENT}, mType=0, mUid=10080}
  [83] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{e804516 android.permission.CONFIGURE_DISPLAY_COLOR_MODE}, mType=0, mUid=1000}
  [84] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{3f3a884 com.samsung.android.dqagent.permission.READ_CS_DB}, mType=0, mUid=1000}
  [85] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{1b39ca2 com.samsung.android.mobileservice.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION}, mType=0, mUid=10112}
  [86] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{544c8f0 com.samsung.android.permisson.DOUBLE_CLICK}, mType=0, mUid=1000}
  [87] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{5d2e0ee com.samsung.android.mdecservice.nms.SEND_MESSAGE_VIA_CMC}, mType=0, mUid=1000}
  [88] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{545841c android.permission.SET_INPUT_CALIBRATION}, mType=0, mUid=1000}
  [89] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{901dfa android.permission.RECOVERY}, mType=0, mUid=1000}
  [90] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{d34c608 android.permission.CONTROL_DISPLAY_COLOR_TRANSFORMS}, mType=0, mUid=1000}
  [91] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{eb21fc6 com.samsung.android.game.gametools.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION}, mType=0, mUid=10075}
  [92] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{9543ab4 com.samsung.android.sharelive.permission.REQUEST_CANCEL_PROTOCOL_X}, mType=0, mUid=5026}
  [93] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{a07252 android.permission.TEMPORARY_ENABLE_ACCESSIBILITY}, mType=0, mUid=1000}
  [94] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{6544e20 com.android.systemui.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION}, mType=0, mUid=10045}
  [95] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{3af619e android.permission.SET_PROCESS_LIMIT}, mType=0, mUid=1000}
  [96] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{9802c4c com.sec.spp.permission.PUSH_SERVICE_PROVIDER}, mType=0, mUid=10103}
  [97] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{42bf9aa com.google.android.googleapps.permission.GOOGLE_AUTH.sitemaps}, mType=0, mUid=10243}
  [98] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{fa9c138 android.permission.health.WRITE_SYMPTOM_JOINT_PAIN}, mType=0, mUid=10292}
  [99] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{4280676 com.samsung.android.app.routines.permission.WRITE_MODE_INFO}, mType=0, mUid=10045}
  [100] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{ed5b8e4 android.permission.health.READ_SYMPTOM_LOWER_BACK_PAIN}, mType=0, mUid=10292}
  [101] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{3061402 com.samsung.contacts.permission.PREFERRED_SIM}, mType=0, mUid=10113}
